,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert._Rate,Med._Age,Urban_Pop_%,World_Share,Time,Time_Code,Country_code,Adolescent_fertility_rate,Agriculture_forestry_and_fishing_value_added,Annual_freshwater_withdrawals_total,Births_attended_by_skilled_health_staff,CO2_emissions,Contraceptive_prevalence_any_methods,Domestic_credit_provided_by_financial_sector,Electric_power_consumption,Energy_use,Exports_of_goods_and_services,External_debt_stocks_total,Fertility_rate_total,Foreign_direct_investment_net_inflows,Forest_area,GDP,GDP_growth,GNI_per_capita_Atlas_method,GNI_per_capita_PPP,GNI_Atlas_method,GNI_PPP,Gross_capital_formation,High-technology_exports,Immunization_measles,Imports_of_goods_and_services,Income_share_held_by_lowest_20%,Industry,Inflation_GDP_deflator,Life_expectancy_at_birth_total,Merchandise_trade,Military_expenditure,Mobile_cellular_subscriptions,Mortality_rate_under-5,Net_barter_terms_of_trade_index,Net_migration,Net_official_development_assistance_and_official_aid_received,Personal_remittances_received,Population_density,Population_growth,Population_total,Poverty_headcount_ratio_at_$1.90_a_day,Poverty_headcount_ratio_at_national_poverty_lines,Prevalence_of_HIV_total,Prevalence_of_underweight_weight_for_age,Primary_completion_rate_total,Revenue_excluding_grants,School_enrollment_primary,School_enrollment_primary_and_secondary,School_enrollment_secondary,Statistical_Capacity_score,Surface_area,Tax_revenue,Terrestrial_and_marine_protected_areas,Time_required_to_start_a_business,Total_debt_service,Urban_population_growth,Access_to_electricity,Adjusted_net_national_income,Cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions,Cause_of_death_by_injury,Cause_of_death_by_non-communicable_diseases,Central_government_debt_total,Cereal_yield,Child_employment_in_agriculture,Children_out_of_school_primary,Children_out_of_school_primary_female,Children_out_of_school_primary_male,Children_with_fever_receiving_antimalarial_drugs,Completeness_of_birth_registration,Condom_use_population_ages_15-24_male,Container_port_traffic,Coverage_of_social_insurance_programs,infection_rate,death_rate
60,Georgia,1943,44522,20,362,3987805,-0.19 %,-7598,57,69490,-10000.0,2.1,38,58 %,0.05 %,2015,YR2015,GEO,48.504,7.81376160306468,..,99.9,2.63020082270414,..,53.806593124775,..,..,40.8622366288493,14874617981.4,2.05,1735285391.9,28223.9990234375,14953950557.4406,3.02220738019703,4410,11820,16438279018.5501,44015459770.8487,26.2943863268012,6.28781006652749,96,57.9065861205245,6.7,19.1524974215412,5.83311913635779,72.973,63.5551118314425,2.14041287080481,137.9343335,10.5,137.5744035,..,448929992.675781,1458741311.21,65.1750586094685,0.157481405176007,3725276,3.7,21.6,0.3,..,102.941383361816,23.1468984823928,102.753471374512,1.01435995101929,99.3539123535156,88.8889,69700,22.2472373655518,..,2,31.041111011818,0.822919001311653,99.9918899536133,12995317961.9971,2.8,3.8,93.4,38.6309120377192,1959.7,..,738,..,..,..,100,..,222000,..,11164.53788487652,90.77675563373836
61,Germany,15352,560379,131,10661,83830972,0.32 %,266897,240,348560,543822.0,1.6,46,76 %,1.07 %,2015,YR2015,DEU,8.0822,0.683779582649906,..,98.7,8.90041929882487,..,..,..,3817.54941455461,46.8485876563908,..,1.5,62422464518.9402,114190,3360549973888.58,1.73974982269824,45850,48770,3745189716061.88,3983765536763.11,19.9994389568558,17.8930419363633,97,39.2865511357823,7.8,27.0645562643767,1.73619181329698,80.6414634146341,70.7425278145506,1.10165771747847,117.8176431,3.9,99.84271789,..,..,15578082898.5573,234.153668555637,0.865702643950251,81686611,0,16.5,..,..,98.9182968139648,28.3909612649213,101.667449951172,0.966109991073608,98.822639465332,..,357408.984375,11.4197361777121,..,10.5,..,0.87865693932128,100,2835812628501.66,4.9,4,91.1,..,7497.8,..,52589,21244,31346,..,..,..,19139033.3333333,..,6684.629637838388,127.17256815297334
62,Ghana,69,48124,0,320,31181428,2.15 %,655084,137,227540,-10000.0,3.9,22,57 %,0.40 %,2015,YR2015,GHA,68.677,20.2471754902887,..,..,0.594373807079951,34.7,..,..,..,31.9587955752985,20110729935.8,4.041,3192320530.7897,93370,48564863888.4402,2.1782067443939,1940,5050,54026706607.9263,140624612115.26,30.0492661592462,..,89,43.6275984155246,..,31.6826683904689,13.5884020388053,62.772,48.9777960762734,0.526514224013995,125.7069529,54.6,171.8898705,..,1770479980.46875,4982442361.78624,122.392568339633,2.26881454933197,27849205,..,..,1.8,..,98.756217956543,27.1841114091618,108.337890625,0.981519997119904,67.9066696166992,65.5555666666667,238540,18.262152392548,..,14,5.99688458793659,3.50970080234297,75.7182388305664,32358017176.4887,48.4,9.9,41.8,..,1830.3,..,..,..,..,..,..,..,900000,..,1543.3545891483866,10.262519086681985
63,Gibraltar,6,703,0,0,33689,-0.03 %,-10,3369,10,,N.A.,N.A.,N.A.,0.00 %,2015,YR2015,GIB,..,..,..,..,17.1741166706189,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.8391036,..,53.25875344,..,..,..,3373.6,0.0326114350439057,33736,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,0.0326114350439057,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20867.34542432248,0.0
64,Greece,1151,42080,7,642,10413936,-0.48 %,-50401,81,128900,-16000.0,1.3,46,85 %,0.13 %,2015,YR2015,GRC,7.7494,3.79679528551917,..,..,6.01244038956895,..,..,..,2182.07109345882,31.5532707138237,..,1.33,1268938505.86333,40540,196591353761.226,-0.43783393784453,20320,26940,219889543681.772,291510428686.154,10.2170114396283,12.8067046619469,97,31.5018900612515,5.8,14.1876634657424,-0.34625853038051,81.0365853658537,38.3231503108249,2.45094228552938,117.8887779,4.4,89.67311127,..,..,509336316.242092,83.947889837083,-0.658861360878339,10820883,1.4,21.2,..,..,97.3575592041016,45.8472039793978,99.5262985229492,0.959569990634918,102.200401306152,..,131960,24.8084214573266,..,13,..,-0.21712848445539,100,162532181781.329,9.8,3.2,86.9,..,4251.5,..,14097,8100,5996,..,..,..,3679000,..,4040.739255551407,61.648160695437355
65,Greenland,0,17,0,0,56787,0.17 %,98,0,410450,,N.A.,N.A.,87 %,0.00 %,2015,YR2015,GRL,..,17.0377903864683,..,..,9.08352639270058,..,..,..,..,37.5798451272169,..,2.01,..,2.19999998807907,2499115623.00272,-2.52931802394474,..,..,..,..,24.0296661076021,78.476628320673,..,45.5215358812404,..,17.0467116297327,8.14438057205848,71.2463414634146,42.9351883571828,..,108.2001525,..,85.35261741,..,..,..,0.136713363381654,-0.322038549275343,56114,..,..,..,..,..,..,..,..,..,..,410450,..,..,..,..,-0.0207026479426003,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,299.36429112296827,0.0
66,Grenada,0,28,0,0,112614,0.46 %,520,331,340,-200.0,2.1,32,35 %,0.00 %,2015,YR2015,GRD,31.6494,7.42834096121826,..,..,2.37554174764368,..,..,..,..,51.2311206411896,601161099.1,2.126,153325880.36738,169.899997711182,997007925.925926,6.44314373327768,7780,12530,852171036.824837,1373363286.20348,..,..,99,50.8600213958699,..,12.3243977331582,2.76032767179638,72.445,40.6215426646558,..,109.2774569,16.2,108.356748,..,24100000.3814697,43354715.4222222,322.35,0.637985514151659,109599,..,..,..,..,..,..,118.55216217041,0.971180021762848,111.752700805664,51.1111333333333,340,..,..,15,5.15083946486791,0.80164319919256,92.4674072265625,..,13,6.3,80.7,..,1005.4,..,..,..,..,..,..,..,16000,..,248.63693679293877,0.0
67,Guam,3,4644,0,79,169031,0.89 %,1481,313,540,-506.0,2.3,31,95 %,0.00 %,2015,YR2015,GUM,34.507,..,..,..,..,..,..,..,..,18.353765323993,..,2.383,..,250,5710000000,0.464666021297205,..,..,..,..,..,..,..,53.2749562171629,..,..,2.62893259562813,79.144,12.907180385289,..,..,..,105.3140183,..,..,..,299.727777777778,0.518477695295947,161853,..,..,..,..,..,..,..,..,..,..,540,..,..,..,..,0.608358918926805,100,..,..,..,..,..,2585.5,..,..,..,..,..,..,..,161000,..,27474.250285450602,467.36989073010284
68,Guatemala,0,108104,0,3738,17971382,1.90 %,334096,167,107160,-9215.0,2.9,23,52 %,0.23 %,2015,YR2015,GTM,73.9864,9.96700303156264,..,65.5,1.01713109925287,60.6,43.9070996668347,..,..,19.8299076925978,20378217942.1,3.029,1203355080,35400,62186186575.7433,4.09217057685802,3700,8000,57670223712.8725,124517142887.857,14.8281550997688,5.47335631844523,77,30.0635454198109,..,22.7375109396278,2.23162192350608,73.25,45.5358361064794,0.395900174564832,111.4995795,28.3,171.8265134,..,411290008.544922,6481896460,145.27266703994,1.69146509302391,15567419,..,..,0.3,12.4,82.711669921875,11.0746586168985,101.512687683105,0.95890998840332,54.197338104248,72.2222333333333,108890,10.3582515698864,..,26.5,16.405417620638,2.36813966071129,90.5346298217773,51742738818.6576,24.8,16,59.2,23.5727353920286,2115.7,58.9174796323138,282536,135842,146694,0.4,96,..,1470200,..,6015.3415023953075,207.9973593572269
69,Guinea,18,12213,0,73,13191279,2.83 %,361549,53,245720,-4000.0,4.7,18,39 %,0.17 %,2015,YR2015,GIN,139.5256,18.4782420543292,..,..,0.23640292132111,..,..,..,..,21.4968703899218,2150532680.8,4.933,53272458.4212994,63640,8794202443.67366,3.82592238557429,760,1790,8703469954.49826,20460340883.3828,24.1633650429097,0.959467237337496,47,50.945854990371,..,26.324639776056,2.97227763574917,59.598,45.1774908008637,3.3050830558159,94.15602819,107.9,99.26738889,..,538929992.675781,130582308.432555,46.5248575614521,2.48970209028172,11432088,..,..,1.5,..,..,..,..,..,..,53.3333333333333,245860,..,..,15,5.79941492032782,3.36143045656269,33.9318656921387,6642109739.64161,57.9,8.8,33.3,..,1114.4,..,..,..,..,..,..,..,135000,..,925.8389576931853,5.533959216539958
70,Guinea-Bissau,0,2413,0,41,1975718,2.45 %,47079,70,28120,-1399.0,4.5,19,45 %,0.03 %,2015,YR2015,GNB,106.0138,46.7881252736562,..,..,0.160425788135174,..,..,..,..,27.5430439150609,355662907.7,4.708,18575499.4478127,19720,1047808175.00057,6.13408294113292,640,1640,1105612763.15432,2842389875.31444,8.08555307153081,..,85,32.238492837062,..,12.2539713386309,12.1019886582442,56.959,43.8057280856536,1.62596124547625,71.29240008,90.7,92.91137109,..,95040000.9155273,84952813.9980524,61.7781650071124,2.61050891599343,1737202,..,..,3.7,..,..,..,..,..,..,44.4444333333333,36130,..,..,8.5,1.90573804919962,3.58386705580876,20.2964935302734,877891045.506251,64.2,7.6,28.2,..,1414.1,..,..,..,..,..,..,..,..,..,1221.3281450085487,20.751949417882518
71,Guyana,46,4208,2,126,787215,0.48 %,3786,4,196850,-6000.0,2.5,27,27 %,0.01 %,2015,YR2015,GUY,77.854,17.0743048592452,..,..,2.62805043313284,..,63.9331000792077,..,..,36.00806390539,1636917068,2.534,137700000,165260,3197220338.98305,3.05486453959792,4130,8430,3168204717.77595,6469630294.56216,15.4551471768758,0.177439553507819,99,46.6530400196296,..,30.1138564067456,0.830666172287309,69.262,82.6655569456519,1.45221333230961,70.70307206,33.1,114.9336233,..,32139999.3896484,302773517.626441,3.89856235712471,0.529393480499987,767432,..,..,1.4,..,..,..,..,..,..,56.6667,214970,..,..,18,5.30278760815175,0.631805856914593,88.3391723632813,2838344045.3335,20.2,12.7,67.1,..,3567.4,..,..,..,..,..,..,..,52834,..,5345.426598832592,160.05792572550067
72,Haiti,0,9054,0,232,11426356,1.24 %,139451,414,27560,-35000.0,3.0,24,57 %,0.15 %,2015,YR2015,HTI,54.032,17.4171261719746,..,..,0.274282500129493,..,..,..,..,20.0073646741132,2096138364.2,3.098,105680000,970,8724656126.49849,1.22432977752609,820,1710,8721731264.57689,18308690377.402,32.3993730585114,..,69,50.5443249520824,..,61.5971900935691,6.87606460499848,62.485,52.3229790814929,0.000887537649535931,68.25273558,70.5,265.9189468,..,1045859985.35156,2195560227.13699,388.082075471698,1.37951920720452,10695542,..,..,2,..,..,..,..,..,..,47.7778,27750,..,..,97,1.95105034505798,3.27230555679105,40.9844589233398,8141108125.78022,31.3,12.1,56.6,..,1008.7,..,..,..,..,..,..,..,176850,..,792.3786025921124,20.3039359179777
73,Honduras,808,98212,3,2675,9931333,1.63 %,158490,89,111890,-6800.0,2.5,24,57 %,0.13 %,2015,YR2015,HND,75.7848,12.2159784468116,..,..,1.09934558817397,..,55.8274885101148,..,..,45.1667574562581,7626993493.8,2.581,1316679827.33597,45920,20979767785.2104,3.84007997093951,2060,4490,18747622360.8117,40945953789.8257,25.1180047488604,1.30869813037827,96,62.097647897982,3.6,25.6499709386427,6.93277036946371,74.495,92.4748081038181,1.68213854736879,88.31847018,19.3,127.3988486,..,540520019.53125,3666201326.86746,81.4453123603539,1.74149412095733,9112916,16.6,52.2,0.3,..,..,23.363155171353,92.7776412963867,1.06183004379272,50.7145195007324,76.6667,112490,17.3444720611594,..,41,18.3961320388077,2.92860203121977,89.98171,18166517916.8883,14.6,20,65.3,..,1742,..,249992,117216,132776,..,..,..,739969.25,2.78752630464611,9889.105520880228,269.34954250350887
74,Hungary,3989,86769,84,1973,9655983,-0.25 %,-24328,107,90530,6000.0,1.5,43,72 %,0.12 %,2015,YR2015,HUN,22.5134,3.80917415347054,..,..,4.51267343748286,..,..,..,2432.75179142028,87.9793891678772,..,1.45,-5266437314.96472,20690,124529741437.176,3.84555770632589,13220,25460,130168701383.028,250589735184.109,23.3015594791395,..,99,79.9918724064404,7.8,26.4476844810224,2.45562579310685,75.5682926829269,152.973095263434,0.920159794783929,101.2544484,5.1,100.8537902,..,..,3953857949.23209,108.726698332045,-0.237855001984657,9843028,0.6,14.5,..,..,96.9503479003906,40.4649404959649,102.325119018555,1.00296998023987,103.030616760254,85.5555666666667,93030,23.3902609856766,..,7,..,0.150141441052492,100,98038444645.9158,2,4.5,93.5,95.7292531617753,5243.4,..,11069,5384,5685,..,..,..,..,..,8986.034875993464,204.3292743990953
75,Iceland,41,4931,0,12,341628,0.65 %,2212,3,100250,380.0,1.8,37,94 %,0.00 %,2015,YR2015,ISL,7.5054,5.31736871004698,..,98.2,6.00793192569865,..,..,..,17478.8930368937,51.8047460810228,..,1.8,1145767444.82301,492.000007629395,17389101641.2758,4.74898499063316,50160,46480,16592363567.0588,15376113336.7176,19.5506976214387,20.1436136092448,93,44.6710044976348,9.5,20.1154443708865,5.61290896809403,82.4682926829268,57.6855562002687,0,116.2534861,2.2,88.52186868,..,..,213098841.823652,3.29990024937656,1.04194038662969,330815,0,8.8,..,..,96.5738830566406,29.8263104008248,98.6254272460938,1.00389003753662,119.078880310059,..,103000,22.8557944214446,..,12,..,1.07716078295576,100,13994449599.9064,4.5,5.7,89.9,..,..,..,408,206,202,..,..,..,261700,..,14433.828608896229,35.12592644631002
76,India,38310,8267623,490,123097,1382345085,0.99 %,13586631,464,2973190,-532687.0,2.2,28,35 %,17.70 %,2015,YR2015,IND,19.127,16.1745083942426,..,..,1.78433376502382,..,..,..,..,19.8131891259911,478825585025.1,2.295,44009492129.5319,706820,2103587817041.78,7.99625344413879,1600,5400,2097598580968.34,7076731493413.66,32.116730086528,7.99080243197538,87,22.1097246755215,..,27.3473914359636,2.27958858899375,68.607,31.4739415505395,2.4051274700264,76.40759943,43.5,104.2283051,..,3174350097.65625,68909693352.8351,440.655458615157,1.11663309126289,1310152403,..,..,..,36.3,97.7113189697266,12.4152095235203,108.485229492188,1.07018005847931,73.8656311035156,77.7778,3287259.0625,10.5697090357471,..,30,11.2063383547997,2.32289067229896,88,1840045795481.62,27,11.3,61.7,..,2856.7,..,..,..,..,..,..,..,11882003,..,5980.867649990594,89.0493997018118
77,Indonesia,2618,415402,101,14044,274021604,1.07 %,2898047,151,1811570,-98955.0,2.3,30,56 %,3.51 %,2015,YR2015,IDN,48.6144,13.4926435578886,..,..,1.98445241358829,61.5,46.7740662515085,..,..,21.1601792598059,307749279474.2,2.389,19779127976.9576,910100,860854235065.079,4.87632230022122,3430,9910,886547499338.417,2559879525286.4,34.0627921803386,8.8702093969982,87,20.7774609817235,7,40.0478624042506,3.98024266013965,70.768,34.0430456240765,0.882266734481239,131.1804585,27.8,121.1597294,..,-28459999.0844727,9659168638.94442,142.629462841624,1.26746557729354,258383256,5.8,11.2,..,..,..,12.9666993353049,105.960243225098,0.985639989376068,86.1227493286133,84.4444666666667,1913580,10.7534877772096,..,49.3,34.6061986406738,2.54735618736627,97.5373674369822,656444400164.172,21.5,6,72.5,30.309126137804,5306.6,..,..,..,..,..,..,..,11978700,8.17875443870597,1515.9461660548486,51.2514334453717
78,Iraq,3413,478701,51,11017,40372771,2.32 %,912710,93,434320,7834.0,3.7,21,73 %,0.52 %,2015,YR2015,IRQ,74.837,4.80629971042471,..,..,4.70236828634536,..,..,..,..,35.3401544401544,..,3.972,-7574200000,8250,177498577312.923,2.47766461711252,5930,10300,210926954208.006,366501386393.93,24.6944015444015,..,71,41.4177606177606,..,41.9602413127413,-26.0999999999994,69.929,65.4055946574324,5.41025103617458,94.34036257,29.5,122.7274439,..,1482939941.40625,1004500000,81.9395670397835,3.31622319058065,35572261,..,..,..,..,..,28.7472120605554,..,..,..,52.2222333333333,435051.9921875,1.24136945083715,..,34.5,..,3.54961620482614,99.3592529296875,141184603946.001,17,29.6,53.4,25.7368722825666,2693.5,..,..,..,..,..,..,..,..,..,11857.026112971042,272.88193817560847
79,Ireland,748,62750,2,1917,4947267,1.13 %,55291,72,68890,23604.0,1.8,38,63 %,0.06 %,2015,YR2015,IRL,8.8202,0.894000473293697,..,99.7,7.63666362750659,..,..,..,2819.87585169324,121.965038601737,..,1.85,237060224928.859,7540.2001953125,291499812103.645,25.1625330527198,50350,53080,236750767694.449,249588740149.407,25.7141751760479,28.1989799207218,93,93.1716019053451,8,38.1665834205933,7.78956086097671,81.4536585365854,68.726630921041,0.342041741695146,105.3646002,3.7,93.22025398,..,..,603613504.799717,68.2531136594571,0.944845307474728,4701957,0.3,16.8,0.2,..,98.7077789306641,25.6625852750819,101.184638977051,1.00846004486084,116.989868164063,..,70280,18.7685418369321,..,12,..,1.26196353364427,100,161303321768.255,5.2,4.3,90.5,88.5218484996919,9008.6,..,263,..,..,..,..,..,860103,..,12683.77065559631,387.48666688092635
80,Isle of Man,0,353,0,24,85112,0.53 %,449,149,570,,N.A.,N.A.,53 %,0.00 %,2015,YR2015,IMN,..,0.492685300216819,..,..,..,..,..,..,..,..,..,..,..,34.6000003814697,6792417112.29947,-0.900000388021411,83980,..,6990121527.42663,..,..,..,..,..,..,9.08218552256966,-0.623700646722838,..,..,..,..,..,..,..,..,..,146.024561403509,-0.304699075724299,83234,..,..,..,..,..,..,..,..,..,..,570,..,..,..,..,-0.14476937094971,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4147.476266566407,281.98138922831095
81,Israel,0,313533,0,2517,8678517,1.60 %,136158,400,21640,10000.0,3.0,30,93 %,0.11 %,2015,YR2015,ISR,10.3814,1.19536980131028,..,..,7.90058412190785,..,..,..,2777.87532368349,31.2075538166295,..,3.09,11336200000,1650,299813121212.641,2.2900921230342,36030,35130,301916660983.612,294407526010.901,20.0146286263428,22.8837868832161,98,28.1780705819999,..,20.1723700938178,2.85823831513106,82.0512195121951,42.0688725996566,5.49696938958908,132.4812089,3.9,112.0266127,..,..,853100000,387.250462107209,1.98128897562083,8380100,..,..,..,..,110.057029724121,32.3319117941806,105.623962402344,1.00824999809265,103.65975189209,..,22070,23.3425102029122,..,12,..,2.06268495608919,100,257607714432.514,10,4.2,85.8,..,4529.4,..,828,..,..,..,..,..,2522000,..,36127.485836577835,290.02651028971883
82,Italy,22253,731588,233,39059,60446035,-0.15 %,-88249,206,294140,148943.0,1.3,47,69 %,0.78 %,2015,YR2015,ITA,5.5016,2.06523676190304,..,..,..,..,..,..,2481.75464546017,29.7159823723612,..,1.35,13303439230.2375,92970,1835899237320.04,0.778304350716581,32980,36650,2002706187959.01,2226028747655.71,17.1072670212734,8.28800201868731,85,26.7021937892476,5.9,20.8563842801091,0.931863574759717,82.5439024390244,47.2743265184278,1.21061949945203,144.756385,3.5,102.8828476,..,..,9608855964.54805,206.468287210172,-0.0963761331392095,60730582,1.9,20.6,0.3,..,99.8095474243164,39.7727375698868,100.386749267578,0.996529996395111,102.256271362305,..,301340,24.739527170909,..,11,..,0.325701454305887,100,1489472105207.79,4.7,3.8,91.5,..,5384.6,..,42103,21264,20839,..,..,..,10018365,..,12103.159454544868,646.1796873856158
83,Jamaica,126,9257,1,210,2963429,0.44 %,12888,273,10830,-11332.0,2.0,31,55 %,0.04 %,2015,YR2015,JAM,55.9558,6.30888708382845,..,..,2.61926668813544,..,..,..,..,29.9242798572128,14134200975.2,2.026,924977863.710038,3352.00012207031,14187696311.3556,0.922682140310954,4710,8520,13603649902.1802,24640731094.2126,21.3537913098392,0.0927607637227218,91,46.1998924998132,..,19.2589236001475,6.65568685975143,74.098,44.0945440521786,0.868420521511396,108.5157458,15.6,85.68707091,..,59069999.6948242,2361233874.36819,266.945614035088,0.550974945202049,2891021,..,..,1.5,..,85.7668762207031,27.4677307712187,91.8855590820313,1.06418001651764,80.9086380004883,77.7778,10990,24.8174774699626,..,3,88.0500924651587,1.0061588756357,94.9,12601792228.7352,11,9,80,124.659191868551,1143.1,..,33441,11347,22094,..,..,..,1653300,..,3123.746173773693,70.86385400156372
84,Japan,468,102281,6,1780,126407422,-0.30 %,-383840,347,364555,71560.0,1.4,48,92 %,1.62 %,2015,YR2015,JPN,4.0596,1.11390541063969,..,99.9,9.15364142172863,39.8,342.95134493388,..,3428.55721600428,17.6109755367671,..,1.45,5252218412.39172,249580,4389475622588.97,1.22292104108077,38840,41950,4937689540395.73,5333311667417.55,24.022669586189,18.0700389747809,96,18.0300451818283,..,29.0196224571341,2.14539677858083,83.7939024390244,29.0020519409821,0.959251330366382,125.4518632,2.8,66.66666667,..,..,3325097902.92664,348.751920122888,-0.106124993746747,127141000,..,..,..,..,..,12.6267268789908,..,..,..,..,377971.015625,11.4235720182082,..,11.2,..,-0.0218270263170706,100,3565499027818.73,12.8,5.3,81.9,197.284422677265,6091.3,..,..,..,..,..,..,..,20577013.25,..,809.1376153529973,14.081451641344287
85,Jordan,5877,81743,47,913,10220604,1.00 %,101440,115,88780,10220.0,2.8,24,91 %,0.13 %,2015,YR2015,JOR,26.7598,5.09650751457285,..,..,2.82744325708258,..,..,..,..,37.0684373131538,25791697222.2,3.071,1600281690.14085,975,38043450704.2253,2.3916959593262,3900,9230,36099202201.2341,85486442885.3451,20.616900245642,2.577043112314,94,59.6534355638568,..,28.2434651260512,2.27241784817991,74.078,74.4096538983408,4.30448041211425,148.9004082,17.6,79.32014383,..,2141050048.82813,5348309859.15493,104.3768303672,3.81124000428512,9266575,..,..,..,..,..,21.8800963316593,..,..,..,74.4444666666667,89320,15.1646467993418,..,12.5,14.3330745910109,4.09528272969719,99.8218231201172,34733493962.7765,11.1,11,77.9,..,1518.8,..,..,..,..,..,..,..,767000,..,7997.863922719244,89.32935861716196
86,Kazakhstan,0,151321,0,2251,18815231,1.21 %,225280,7,2699700,-18000.0,2.8,31,58 %,0.24 %,2015,YR2015,KAZ,30.374,4.71054741881579,..,99.4,13.800054164653,55.7,45.6924502151867,..,..,28.5167080072354,153179602966.4,2.73,6577824049.679,33090,184388432148.715,1.19999999976802,11380,21760,199694739813.585,381745816548.317,27.9079156027413,41.3624509110998,99,24.5330208000299,10,30.8547873936113,1.823549877056,72,41.501518890448,1.10972144949649,149.7227182,11.8,151.8349824,..,81699996.9482422,294269675.872008,6.49805756195133,1.46148468519161,17542806,0,2.7,0.2,2,114.272529602051,13.6664367402631,111.640083312988,1.02092003822327,110.30126953125,90,2724901.875,9.8357115521941,..,11,65.423203838466,1.58920310567086,100,139936495129.577,5,9.6,85.4,19.307916061599,1278.1,..,298,..,..,..,100,..,..,28.6769633035275,8042.473674652199,119.6371173970705
87,Kenya,724,56601,14,1027,53968739,2.28 %,1197323,94,569140,-10000.0,3.5,20,28 %,0.69 %,2015,YR2015,KEN,79.508,30.1924088834496,..,..,0.355454019955915,66.3,..,..,..,16.5735082046997,19776929996.7,3.765,619719962.285828,44130,64007750169.3344,5.71850713263132,1290,3320,61710627444.9642,158922253444.329,21.465956547523,..,96,27.6050852673033,6.2,17.3007958438651,10.0249813619979,64.798,34.3692755046084,1.31807026111731,78.77455056,49.6,105.1508433,..,2463520019.53125,1569256448.01188,84.1240046385775,2.49193687127904,47878336,37.1,36.1,5.1,..,99.1434020996094,21.1995920201651,103.661567687988,..,..,54.4444333333333,580370,16.2566353961708,..,28,8.46629075877001,4.2097782676465,41.6,53020305741.7121,65.2,9.4,25.4,..,1772.7,..,..,..,..,27.1,..,..,1076100,1.18825729022986,1048.7738095937357,19.02953485720688
88,Kiribati,0,0,0,0,119760,1.57 %,1843,147,810,-800.0,3.6,23,57 %,0.00 %,2015,YR2015,KIR,18.1598,21.5765558116562,..,..,0.561967006220139,..,..,..,..,15.6246295686533,..,3.692,-819824.352875235,121.499996185303,171117872.436331,10.4054079265676,3470,4340,385304522.631934,481818499.250186,41.6463615409944,1.38254324650697,84,107.39062671496,..,15.2220392931621,3.48350939050381,67.291,74.2178465591044,..,36.9602452,57.4,102.4163088,..,64949996.9482422,14048045.1044275,136.950617283951,1.39707520572158,110930,..,..,..,..,..,120.493406190319,105.551132202148,..,..,34.4444333333333,810,22.0874691779168,..,31,..,3.04982769578886,90.5581814089579,336760425.508696,29.5,7.1,63.5,..,..,..,385,..,..,..,..,..,..,..,0.0,0.0
89,Kuwait,759,127293,4,786,4281320,1.51 %,63488,240,17820,39520.0,2.1,37,N.A.,0.05 %,2015,YR2015,KWT,8.6948,0.537517441034076,..,99.9,24.2424489472418,..,..,..,..,53.7662480818489,..,2.083,284647623.805362,62.5,114567298105.683,0.593019617221231,42530,53350,163123803722.13,204641979189.488,25.4280849236946,0.127594325620706,93,44.9333252111054,..,55.9363333362341,-25.9584189407846,75.13,74.2663931216333,5.00756817155992,199.832125,8.7,138.4971444,..,..,34265894.5302209,215.240796857464,3.84420907638658,3835591,..,..,..,..,..,38.6211937934576,102.589736938477,1.04884004592896,97.8277206420898,..,17820,1.38077874761047,..,31.4,..,3.84420907638656,100,108613502484.468,14.7,13.3,72,..,6542.5,..,4311,..,..,..,..,..,1035000,..,29732.185400764247,183.58823914119947
90,Latvia,132,6268,3,77,1882408,-1.08 %,-20545,30,62200,-14837.0,1.7,44,69 %,0.02 %,2015,YR2015,LVA,15.8182,3.5252536041676,..,99.9,3.54363657234516,..,..,..,..,60.7200683502335,..,1.7,812843819.517903,33560,27090019662.7977,3.26052438137853,15010,24690,29679387956.7594,48824891694.3922,22.6120047118723,18.827374882861,96,61.6288228437622,7.1,19.4374640520767,0.00222370976850073,74.4804878048781,99.6861587261434,1.04809458952932,129.6507839,5,104.8781089,..,..,1335768739.25559,31.8032647153426,-0.818626340945853,1977527,0.6,21.8,0.4,..,100.010948181152,39.5228619454491,99.3933181762695,0.990239977836609,112.356651306152,..,64490,22.5037405057461,..,5.5,..,-0.777437303718408,100,20507065072.2468,2.5,5.8,91.7,..,4513.1,..,2406,982,1424,..,..,..,359390,..,3329.777604005083,40.90505352718433
